course_id,title,provider,thematic,sub_thematic,level,modality,price_usd,duration_hours,language
C001,Intro de Habilidades Transversales,Universidad Alfa,Multidisciplinar,Pensamiento Crítico,Avanzado,Virtual,85,22,Español
C002,Taller de Transición Energética,Instituto Beta,Sostenibilidad,Transición Energética,Básico,Híbrido,125,34,Inglés
C003,Intro de Big Data,Instituto Beta,Data/AI,Visualización,Básico,Presencial,234,34,Inglés
C004,Taller de Protección de Datos,Tech Academy,Ciberseguridad,Gobierno Digital,Intermedio,Presencial,52,50,Español
C005,Fundamentos de Gobierno Digital,Tech Academy,Ciberseguridad,Gobierno Digital,Avanzado,Virtual,95,43,Inglés
C006,Fundamentos de Visualización,Online Campus,Data/AI,Machine Learning,Avanzado,Virtual,240,60,Inglés
C007,Taller de Economía Circular,Universidad Alfa,Sostenibilidad,Economía Circular,Intermedio,Híbrido,61,39,Inglés
C008,Fundamentos de Design Thinking,Tech Academy,Creatividad e Innovación,Design Thinking,Básico,Virtual,150,39,Inglés
C009,Intro de Storytelling,Online Campus,Creatividad e Innovación,Storytelling,Básico,Híbrido,92,10,Español
C010,Taller de Design Thinking,Universidad Alfa,Creatividad e Innovación,Design Thinking,Básico,Presencial,66,16,Español
C011,Taller de Gobierno Digital,Tech Academy,Ciberseguridad,Protección de Datos,Avanzado,Virtual,79,27,Inglés
C012,Taller de Economía Circular,Universidad Alfa,Sostenibilidad,Transición Energética,Básico,Presencial,206,59,Español
C013,Taller de Storytelling,Tech Academy,Creatividad e Innovación,Design Thinking,Avanzado,Híbrido,248,18,Español
C014,Taller de Economía Circular,Online Campus,Sostenibilidad,Transición Energética,Avanzado,Híbrido,268,55,Español
C015,Taller de Pensamiento Crítico,Instituto Beta,Multidisciplinar,Pensamiento Crítico,Intermedio,Presencial,167,21,Inglés
C016,Taller de Liderazgo Comunitario,Instituto Beta,Innovación Social,Economía Solidaria,Básico,Híbrido,206,17,Español
C017,Fundamentos de Pensamiento Crítico,Universidad Alfa,Multidisciplinar,Pensamiento Crítico,Avanzado,Virtual,255,37,Inglés
C018,Avanzado de Pensamiento Crítico,Tech Academy,Multidisciplinar,Habilidades Transversales,Avanzado,Presencial,129,25,Español
C019,Taller de Gobierno Digital,Online Campus,Ciberseguridad,Gobierno Digital,Intermedio,Presencial,167,38,Inglés
C020,Taller de Design Thinking,Instituto Beta,Creatividad e Innovación,Storytelling,Avanzado,Híbrido,116,55,Inglés
C021,Taller de Design Thinking,Online Campus,Creatividad e Innovación,Design Thinking,Básico,Presencial,128,20,Inglés
C022,Taller de Transición Energética,Instituto Beta,Sostenibilidad,Economía Circular,Intermedio,Virtual,95,30,Español
C023,Intro de Pensamiento Crítico,Tech Academy,Multidisciplinar,Habilidades Transversales,Avanzado,Virtual,174,33,Español
C024,Intro de Big Data,Universidad Alfa,Data/AI,Machine Learning,Básico,Virtual,278,53,Inglés
